gene_id,gene_name,nreg_total,resid_total,baseMean,shet,ess_hart,ess_cegv2,druggable
ENSG00000006744,ELAC2,243,-41.53478010407494,91.41571465601054,0.00221841,False,True,False
ENSG00000006747,SCIN,-1,-48.33508606735821,0.5678092300613001,0.00032099,False,False,False
ENSG00000006757,PNPLA4,124,-18.99886259171138,13.184369208851123,0.00198651,False,False,False
ENSG00000006831,ADIPOR2,230,-20.226093284064675,63.38147821180785,0.10809743,False,False,False
ENSG00000007038,PRSS21,7,-92.29931633474638,4.916379264839667,0.00091201,False,False,False
ENSG00000007080,CCDC124,288,-7.151950644171748,104.76368578500905,0.00361116,False,False,False
ENSG00000007129,CEACAM21,129,4.996761051749218,8.602210036877436,0.0003991,False,False,False
ENSG00000007168,PAFAH1B1,197,-146.1974648688922,150.61185736646252,0.70793684,False,True,False
ENSG00000007202,BLTP2,297,-40.952439800923884,152.85438651895257,0.03982523,False,False,False
ENSG00000007255,TRAPPC6A,330,137.94086413304123,29.688553490960043,0.00084265,False,False,False
ENSG00000007264,MATK,268,125.0026037043217,16.115616441976726,0.01397852,False,False,True
ENSG00000007312,CD79B,266,66.09594004442442,33.43734515857823,0.3297396,False,False,False
ENSG00000007341,ST7L,115,2.6812787151525974,6.348918178254878,0.00201676,False,False,False
ENSG00000007376,RPUSD1,107,-41.55061149367639,15.525299866993944,0.00041645,False,False,False
ENSG00000007392,LUC7L,229,-16.898006086395455,64.51967900681478,0.07475794,False,False,False
ENSG00000007520,TSR3,231,-81.72207297767775,123.34855737688683,0.00242927,False,False,False
ENSG00000007541,PIGQ,80,-74.59135145702052,16.179182573293428,0.00501526,False,False,False
ENSG00000007545,CRAMP1,154,-44.98315351443241,33.12884840904122,0.04472938,False,False,False
ENSG00000007944,MYLIP,182,48.27059559509388,10.68531921324275,0.03773133,False,False,False
ENSG00000007968,E2F2,239,52.14130050307582,33.16591849777617,0.03840513,False,False,False
ENSG00000008018,PSMB1,383,-74.65936375680218,339.52003964507725,0.24226382,False,True,False
ENSG00000008083,JARID2,388,112.68606882642386,91.59115640262159,0.19704297,False,False,False
ENSG00000008086,CDKL5,59,-0.5639092547106177,1.1035755165682486,0.56524291,False,False,True
ENSG00000008128,CDK11A,38,-71.78916529653797,5.951931917996321,0.00168562,False,False,False
ENSG00000008130,NADK,175,-49.39598616189366,47.992300315870814,0.01971658,False,False,False
ENSG00000008256,CYTH3,23,-39.52847317242991,1.1617290808627252,0.14254859,False,False,False
ENSG00000008277,ADAM22,134,58.713123233269975,2.002151548936741,0.04674347,False,False,False
ENSG00000008282,SYPL1,135,-14.955168428360551,15.101119138026078,0.01839622,False,False,False
ENSG00000008283,CYB561,166,77.59877762734172,3.8832858869361364,0.03417892,False,False,False
ENSG00000008294,SPAG9,218,-24.309735807278727,57.09073730844945,0.25390959,False,False,False
ENSG00000008300,CELSR3,24,-68.3337437379966,3.873465060750797,0.08206019,False,False,True
ENSG00000008311,AASS,54,4.077231988855111,0.8509642858613204,0.00647727,False,False,False
ENSG00000008324,SS18L2,80,-125.25897559772739,35.58698699973359,0.00490099,False,True,False
ENSG00000008382,MPND,67,-52.85070034123385,7.724376185754574,0.00279716,False,False,False
ENSG00000008394,MGST1,6,-61.27985369211726,1.7141974973978582,0.0006108,False,False,False
ENSG00000008405,CRY1,238,55.57322310139611,26.49968757127449,0.01809031,False,False,False
ENSG00000008441,NFIX,54,-3.6312843861432205,1.2895601016678677,0.6171846,False,False,False
ENSG00000008513,ST3GAL1,404,139.50631486495178,72.40138920906458,0.04124067,False,False,False
ENSG00000008516,MMP25,222,98.77126649647883,10.52123414893554,0.00058388,False,False,False
ENSG00000008517,IL32,445,-555.9999947338791,2799.9259930990015,0.00049409,False,False,False
ENSG00000008710,PKD1,60,-59.71767042801489,7.781083437759417,0.11455967,False,False,False
ENSG00000008838,MED24,144,-121.74479835485698,74.6378384654868,0.0062371,False,False,False
ENSG00000008853,RHOBTB2,78,-14.202474716874498,3.6127303869356178,0.04166091,False,False,False
ENSG00000008869,HEATR5B,160,-56.8945158157815,41.64596464068723,0.02089418,False,False,False
ENSG00000008952,SEC62,251,-35.209598407157884,92.50797833761604,0.13106405,False,False,False
ENSG00000009307,CSDE1,203,-146.38406159505809,160.47151919789758,0.24540558,False,False,False
ENSG00000009335,UBE3C,285,-67.42928351215856,173.92667938633807,0.14019765,False,False,False
ENSG00000009413,REV3L,157,-26.17003099324112,25.8959097583622,0.21314185,False,False,False
ENSG00000009780,FAM76A,83,-72.6204363223062,16.349197761289297,0.0131543,False,False,False
ENSG00000009790,TRAF3IP3,415,-64.9257866189158,380.7681977125326,0.00765103,False,False,False
ENSG00000009830,POMT2,47,-44.63526411939108,3.62737743641351,0.00500066,False,False,False
ENSG00000009844,VTA1,139,-120.15863092805621,70.41323591537126,0.0082413,False,False,False
ENSG00000009954,BAZ1B,239,-95.3156516160931,143.37788222304573,0.34005713,False,False,False
ENSG00000010017,RANBP9,318,-2.1117032708326064,124.46902415848994,0.33018685,False,False,False
ENSG00000010030,ETV7,43,-4.78731324201588,0.5809148832559335,0.00091341,False,False,False
ENSG00000010072,SPRTN,56,-107.10925586577284,18.60466717515646,0.12984238,False,False,False
ENSG00000010165,METTL13,113,-141.238383589843,66.99405305177842,0.0122205,False,False,False
ENSG00000010219,DYRK4,135,-29.711232126590964,19.59935986201648,0.00032091,False,False,True
ENSG00000010256,UQCRC1,343,-51.09312164646899,221.53312684390272,0.02187314,False,True,False
ENSG00000010270,STARD3NL,195,-26.275879377381315,44.760769230934336,0.02590009,False,False,False
ENSG00000010278,CD9,196,-16.850689244014887,40.27292316101986,0.01403506,False,False,False
ENSG00000010292,NCAPD2,382,37.40402536396208,155.39427958970577,0.00924244,False,False,False
ENSG00000010295,IFFO1,84,-48.100918955361024,10.314728969195885,0.02241655,False,False,False
ENSG00000010310,GIPR,32,-10.101514096069602,0.6510874867196401,0.00025242,False,False,True
ENSG00000010322,NISCH,122,-63.586655052899715,26.68822316871045,0.07221909,False,False,False
ENSG00000010361,FUZ,87,-35.148537652136405,8.103038283715714,0.00208845,False,False,False
ENSG00000010404,IDS,342,42.92206363836432,102.98096640498788,0.27567469,False,False,False
ENSG00000010539,ZNF200,128,-28.81429383098955,16.52150270062296,0.00072033,False,False,False
ENSG00000010610,CD4,445,-22.88945105758397,356.8972251273353,0.01516906,False,False,False
ENSG00000010626,LRRC23,44,-39.68388323506208,2.9285288499747733,0.00074836,False,False,False
ENSG00000010803,SCMH1,132,-18.714889870595684,14.846772338023491,0.03720801,False,False,False
ENSG00000010810,FYN,471,84.18154263390993,245.63447613224662,0.17903202,False,False,True
ENSG00000010818,HIVEP2,197,6.804032255618594,29.972074062538635,0.40718969,False,False,False
ENSG00000011007,ELOA,119,-93.48580871775997,42.40527735691954,0.3241679,False,False,False
ENSG00000011009,LYPLA2,59,-103.6683784024199,18.59467303483057,0.17516719,False,False,False
ENSG00000011021,CLCN6,109,-16.50097684889697,9.015954347816411,0.02164604,False,False,True
ENSG00000011028,MRC2,299,165.25744118166202,12.34935008396473,0.0438052,False,False,False
ENSG00000011114,BTBD7,160,-58.41247200626373,43.544456090563195,0.06176288,False,False,False
ENSG00000011143,MKS1,74,-54.00810195794721,9.582429118372747,0.00323779,False,False,False
ENSG00000011198,ABHD5,159,-15.392286975243906,22.67385986014493,0.01189798,False,False,False
