gene_id,gene_name,nreg_Rest,resid_Rest,nreg_Stim8hr,resid_Stim8hr,nreg_Stim48hr,resid_Stim48hr,nreg_total,resid_total,baseMean,ess_hart,ess_cegv2,noness_negv1,shet
ENSG00000004142,POLDIP2,110,19.73717332972636,106,-23.237612741367883,128,15.72873817219228,344,12.228298760550757,144.27934977414697,False,False,False,0.02287606
ENSG00000004399,PLXND1,23,10.196516654809683,16,-11.732544162507619,16,2.792822849722663,55,1.256795342024727,0.7627561330847759,False,False,False,0.15173388
ENSG00000004468,CD38,112,58.18032026784506,173,71.37104186091248,175,98.31220225943562,460,227.86356438819317,55.634191193092306,False,False,False,0.00094964
ENSG00000004478,FKBP4,70,23.84713022700182,123,28.45949410476392,107,33.484862522009536,300,85.79148685377527,44.91024620650212,False,False,False,0.04876948
ENSG00000004487,KDM1A,68,-7.093324076203729,94,-14.338496893261151,59,-34.132281848272285,221,-55.564102817737165,84.93438983130996,False,False,False,0.12355633
ENSG00000004534,RBM6,78,-2.9380508086004227,52,-46.413478796410544,69,-19.003145980968284,199,-68.35467558597925,74.87695542580825,False,False,False,0.24672924
ENSG00000004660,CAMKK1,16,-3.86268298572681,35,-9.269604672774626,12,-9.341291534721957,63,-22.473579193223394,3.0352033610344877,False,False,False,0.04254852
ENSG00000004700,RECQL,98,-14.85171983467265,124,20.540768941517996,99,-42.60638610759952,321,-36.91733700075417,169.16275718925712,False,False,False,0.00059248
ENSG00000004766,VPS50,38,-16.252493946413978,42,-22.194078222170546,29,-14.901765646698557,109,-53.34833781528308,18.420544928346114,False,False,False,0.05796102
ENSG00000004777,ARHGAP33,18,-17.18893094416981,55,26.75487418618891,30,-1.5732533726952234,103,7.9926898693238755,4.957680870644299,False,False,False,0.0708954
ENSG00000004779,NDUFAB1,127,28.059387869714342,85,-54.102917786115825,175,34.687423219662094,387,8.643893303260612,205.81315963104865,False,False,False,0.03885582
ENSG00000004864,SLC25A13,30,-5.2259184747993075,66,0.21004752053403308,34,-1.6460638233139164,130,-6.661934777579191,11.835756114913499,False,False,False,0.00305158
ENSG00000004866,ST7,48,9.324626601912016,75,1.681765150129067,47,3.9957716764736873,170,15.00216342851477,17.19082539241915,False,False,False,0.08565552
ENSG00000004897,CDC27,89,7.5942759724378845,63,-32.8853859039947,41,-56.42151237988202,193,-81.71262231143884,80.42363447856272,False,True,False,0.18347851
ENSG00000004961,HCCS,20,-32.602669855094156,20,-62.262738019637254,60,2.3670194182745377,100,-92.49838845645687,30.56434200359284,False,False,False,0.1699714
ENSG00000004975,DVL2,35,-11.444959553531596,32,-41.08204480662087,26,-17.89858471686562,93,-70.42558907701809,19.220908645165107,False,False,False,0.02836167
ENSG00000005020,SKAP2,37,6.34614094411906,47,9.431281776856686,33,-7.812664275357541,117,7.964758445618205,6.824816438906208,False,False,False,0.02438391
ENSG00000005022,SLC25A5,103,31.125304739808428,57,-35.63457528310445,103,12.071875813273138,263,7.562605269977112,66.12327166865316,False,False,False,0.55893479
ENSG00000005059,MCUB,121,20.22038000402779,105,26.148061467387805,69,-22.16310890117579,295,24.205332570239804,81.35634727013968,False,False,False,0.00094806
ENSG00000005156,LIG3,22,-20.70179366043382,40,-37.86374750181662,22,-26.14778973048064,84,-84.71333089273108,21.777106067659766,False,False,False,0.01672053
ENSG00000005175,RPAP3,38,-32.856687061581184,77,-27.6649693364582,67,-21.539936154014825,182,-82.06159255205421,74.7434214871658,False,False,False,0.0168584
ENSG00000005187,ACSM3,6,-9.032663348321693,11,-12.351543160585106,25,2.0451954230666196,42,-19.33901108584018,1.5066407334199128,False,False,False,0.00021107
ENSG00000005189,REXO5,31,3.3941796602432994,55,19.2131069307882,46,5.8129555859556845,132,28.420242176987184,6.141174085677079,False,False,False,0.00200427
ENSG00000005206,SPPL2B,35,-19.643017801189366,65,-1.0133757300032329,22,-28.66001378004733,122,-49.31640731123993,21.26871632778754,False,False,False,
ENSG00000005238,ATOSB,28,-7.2886359078627905,65,33.44889339199946,26,-5.254071083910709,119,20.906186400225963,5.080298933459312,False,False,False,0.15279095
ENSG00000005249,PRKAR2B,12,-4.443221049872342,21,-5.229441616680841,31,18.869935957702033,64,9.19727329114885,0.7910500886672392,False,False,False,0.16954733
ENSG00000005302,MSL3,4,-21.339677566765488,17,-24.72456447548958,4,-16.03177560347294,25,-62.09601764572801,3.047312591365155,False,False,False,0.36905016
ENSG00000005339,CREBBP,68,-13.024159604507105,69,-21.91994992952624,50,-15.901138117031763,187,-50.84524765106511,55.24340788370472,False,False,False,0.74349792
ENSG00000005379,TSPOAP1,152,99.09265434053452,167,106.14950909873934,163,109.269516824389,482,314.51168026366287,20.13724504789417,False,False,False,0.04200246
ENSG00000005436,GCFC2,35,-17.502333063669404,75,-11.61760222032315,38,-17.746900163998788,148,-46.86683544799134,32.49160237109066,False,False,False,0.00111514
