gene_id,gene_name,n_regulators,resid_responsiveness,my_gene_response,essential_hart,shet
ENSG00000174227,PIGG,97.0,-57.39399331406277,69.0,False,0.00146711
ENSG00000174231,PRPF8,139.0,-160.7996959681605,80.0,True,0.14125137
ENSG00000174238,PITPNA,175.0,-85.1327510197539,119.0,False,0.16897162
ENSG00000174243,DDX23,153.0,-145.16833516390267,113.0,False,0.09259543
ENSG00000174255,ZNF80,3.0,-35.37410148370718,1.0,False,
ENSG00000174292,TNK1,28.0,-27.391702051846973,19.0,False,0.00021419
ENSG00000174306,ZHX3,115.0,-33.61654099367612,69.0,False,0.05286195
ENSG00000174307,PHLDA3,411.0,247.4099575100439,250.0,False,0.00884689
ENSG00000174327,SLC16A13,160.0,29.998692858847946,114.0,False,0.00110602
ENSG00000174371,EXO1,212.0,4.812706313527549,132.0,False,0.00263462
ENSG00000174373,RALGAPA1,126.0,-30.20740688886113,75.0,False,0.11484528
ENSG00000174405,LIG4,130.0,-30.99702538076749,84.0,False,0.01017913
ENSG00000174437,ATP2A2,423.0,112.000071468816,269.0,False,0.15894532
ENSG00000174442,ZWILCH,334.0,93.59472999573586,221.0,False,0.00116317
ENSG00000174456,C12orf76,118.0,17.83270531497649,78.0,False,0.00095739
ENSG00000174483,BBS1,126.0,6.48363459557655,88.0,False,0.00122415
ENSG00000174485,DENND4A,313.0,45.738195425796945,188.0,False,0.0679223
ENSG00000174500,GCSAM,249.0,157.86842023499207,157.0,False,0.00166356
ENSG00000174514,MFSD4A,42.0,-10.651521895098137,27.0,False,0.01137499
ENSG00000174516,PELI3,54.0,-34.962348954005634,40.0,False,0.04670192
ENSG00000174529,TMEM81,37.0,-67.49926823515386,26.0,False,0.00961006
ENSG00000174574,AKIRIN1,226.0,-93.16253715282912,152.0,False,0.1173191
ENSG00000174579,MSL2,277.0,-26.574133601823405,176.0,False,0.15874716
ENSG00000174586,ZNF497,9.0,-27.974529210625192,7.0,False,0.00158687
ENSG00000174606,ANGEL2,41.0,-117.85415016617611,23.0,False,0.01099761
ENSG00000174652,ZNF266,133.0,-47.258871261601605,76.0,False,0.0007374
ENSG00000174669,SLC29A2,87.0,-12.502883641960459,52.0,False,0.00109364
ENSG00000174684,B4GAT1,134.0,1.4204334758671138,88.0,False,0.02060245
ENSG00000174695,TMEM167A,397.0,51.356116472091045,263.0,False,0.00617108
ENSG00000174718,RESF1,429.0,126.63055309068505,261.0,False,0.01023798
ENSG00000174720,LARP7,159.0,-94.81277307437873,103.0,False,0.00320407
ENSG00000174721,FGFBP3,63.0,-6.839612904549583,34.0,False,0.00174359
ENSG00000174738,NR1D2,262.0,121.03148804840681,169.0,False,0.04764161
ENSG00000174744,BRMS1,191.0,-87.74941532663507,118.0,False,0.00281059
ENSG00000174749,FAM241A,346.0,122.26559187198646,227.0,False,0.10488181
ENSG00000174775,HRAS,209.0,10.332275341274972,134.0,False,0.01290957
ENSG00000174788,PCP2,15.0,-25.998040099451437,11.0,False,0.00396048
ENSG00000174792,ODAPH,153.0,63.052580513746925,108.0,False,0.00149319
ENSG00000174796,THAP6,125.0,-85.00989944658474,89.0,False,0.00132438
ENSG00000174799,CEP135,167.0,-30.15231103498509,102.0,False,0.00183074
ENSG00000174837,ADGRE1,32.0,-38.16597658085225,18.0,False,0.00069577
ENSG00000174839,DENND6A,173.0,-42.08354464521068,121.0,False,0.0220306
ENSG00000174840,PDE12,65.0,-135.89965160551913,47.0,False,0.0211411
ENSG00000174842,GLMN,140.0,-101.34199784923723,95.0,False,0.01096087
ENSG00000174851,YIF1A,184.0,-35.949844875080856,118.0,False,0.00075734
ENSG00000174871,CNIH2,16.0,-29.18084785258452,8.0,False,0.38489905
ENSG00000174885,NLRP6,103.0,36.7939000410065,72.0,False,0.0014354
ENSG00000174886,NDUFA11,149.0,-128.9286663561973,97.0,False,0.00180892
ENSG00000174891,RSRC1,170.0,-57.252790867855126,118.0,False,0.00856623
ENSG00000174903,RAB1B,314.0,-34.96003865769893,191.0,False,0.19609818
ENSG00000174915,PTDSS2,114.0,-36.0666523763972,75.0,False,0.02158087
ENSG00000174917,MICOS13,99.0,-67.16776414338372,72.0,False,0.00282211
ENSG00000174928,C3orf33,98.0,-12.759587784950273,62.0,False,0.00085981
ENSG00000174943,KCTD13,221.0,-3.309437824729592,133.0,False,0.01615606
ENSG00000174944,P2RY14,172.0,87.92481166921968,114.0,False,0.00275996
ENSG00000174946,GPR171,675.0,334.0890404903138,411.0,False,0.01633201
ENSG00000174953,DHX36,172.0,-118.7375033901651,112.0,False,0.07362438
ENSG00000174989,FBXW8,175.0,28.59220149832334,126.0,False,0.00120824
ENSG00000174996,KLC2,180.0,-33.943002158394656,112.0,False,0.06355933
ENSG00000175029,CTBP2,91.0,14.350783195680627,56.0,False,0.23707507
ENSG00000175040,CHST2,209.0,77.74084615587591,141.0,False,0.04243072
ENSG00000175048,ZDHHC14,272.0,70.86229029294046,183.0,False,0.06478285
